Number,Posted by,Photo credit,Source,Season,Year,Time,Country,Province/Region,Place,Fall under,area/location,Classified area,due to fenceless border I put them under,Alive/dead,cause of death,Area,Movement,conditions,Human presence,link
1,margaux_safari,Margaux Mathey,Instagram,Summer,19/2/2015,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,tall grasses,walking,good,,https://www.instagram.com/p/zRwPAErn3y/
2,margaux_safari,Margaux Mathey,Instagram,Spring,14/9/2015,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking,good,,https://www.instagram.com/p/7nD-X6rn2K/
3,rudi_onsafari,Rudi Venter,Instagram,Winter,11/7/2016,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,digging and a Cape glossy starling above it,good ,,https://www.instagram.com/p/BHunhcrhWeN/
4,rudi_onsafari,Rudi Venter,Instagram,Autumn,1/3/2017,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking,good,,https://www.instagram.com/p/BRFq989DWkM/
5,rudi_onsafari,Rudi Venter,Instagram,Winter,7/6/2017,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,digging and feeding,good,,https://www.instagram.com/p/BVB8JbgjMnZ/
6,rudi_onsafari,Rudi Venter,Instagram,Autumn,16/3/2018,daylight,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,feeding,good,,https://www.instagram.com/p/BgYQ66xFFrR/
7,rudi_onsafari,Rudi Venter,Instagram,Winter,8/6/2018,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking,good,,https://www.instagram.com/p/BjwTzmFHPpd/
8,rudi_onsafari,Rudi Venter,Instagram,Spring,8/9/2018,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,ground surface,walking,not good,,https://www.instagram.com/p/BndWK42niiU/
9,rudi_onsafari,Rudi Venter,Instagram,Winter,13/7/2019,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,ground surface,walking,not good,,https://www.instagram.com/p/Bz2fMieAWDY/
10,rudi_onsafari,Rudi Venter,Instagram,Winter,24/7/2019,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,ground surface,walking,"not good, bones visible",,https://www.instagram.com/p/B0TEHl_g8e_/
11,rudi_onsafari,Rudi Venter,Instagram,Winter,6/8/2019,daylight,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,ground surface,"walking and digging, starlings also seen around","not good, bones visible, skinny",,https://www.instagram.com/p/B00KdyBAhcF/
12,tswalufoundation,Dylan Smith,Instagram,Winter,4/6/2018,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking,good,,https://www.instagram.com/p/Bjl1S1pnAYO/
13,tswalufoundation,Dylan Smith,Instagram,Spring,18/10/2018,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,ground surface,digging,average,,https://www.instagram.com/p/BpE7YoEHEqc/
14,tswalufoundation,Dylan Smith,Instagram,Spring,16/10/2018,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,ground surface,digging and feeding,not good,,https://www.instagram.com/p/Bo-49ExH3Iz/
15,tswalufoundation,Dylan Smith,Instagram,Spring,15/10/2018,afternoon,South Africa,northern cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,ground surface,walking,good,,https://www.instagram.com/p/Bo9d0f0nxNN/
16,tswalufoundation,camera trap,Instagram,Spring,19/10/2018,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,waterhole,drinking water,skinny,,https://www.instagram.com/p/BpGuILSHtc_/
17,tswalu,Byron Serrao,Instagram,Autumn,25/5/2016,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking ,good,,https://www.instagram.com/p/BF1BekOHiB_/
18,adrianbantich,Adrian Bantich,Instagram,Autumn,21/5/2015,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking,good,,https://www.instagram.com/p/27tFyWRR6a/
19,tswalu,Kosie Lategan,Instagram,Winter,27/7/2016,daylight,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking,not good,,https://www.instagram.com/p/BIX4XQxB_gF/
20,tswalu,Kosie Lategan,Instagram,Winter,6/7/2016,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,road,crossing the road,good,,https://www.instagram.com/p/BHhysm-hvMM/
21,tswalu,Anita Mishra,Instagram,Winter,18/8/2016,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,Kalahari sand dunes,falling asleep,good,,https://www.instagram.com/p/BJQlgh4BLnX/
22,camappelphoto,Cameron Appel,Instagram,Winter,4/7/2016,afternoon,South Africa,Northern Cape,Tswalu Kalahari Reserve,,,Tswalu Kalahari Reserve,,alive,,grasses,walking,good,,https://www.instagram.com/p/BHcbn8rAANN/
