Number,Posted by,Photo credit,Source,Season,Year,Time,Country,Province/Region,Place,Falls under,Comment on area/Location,Classified area,Due to fenceless border I put them under,Alive/dead,Area,Movement,Sex,Human presence,link
1,Richard Sachse Photography,Richard Sachse,Facebook,Summer,24/12/2013,evening,South Africa,Mpumalanga,Simbambili Game lodge,Sabi Sands Game Reserve,It is adjacent to Kruger National Park,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,curled,,,https://web.facebook.com/photo?fbid=341669345971748&set=a.341669252638424
2,Ryan Johnston,Ryan,Facebook,Winter,8/8/2011,daylight,South Africa,Mpumalanga,Sabi Sands Game Reserve,Sabi Sands Game Reserve,It is adjacent to Kruger National Park,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,walking,,yes,https://web.facebook.com/photo.php?fbid=10150245224866971&set=t.534226970&type=3
3,Ben Cranke,Ben Cranke,Facebook,Summer,23/1/2018,evening,South Africa,Mpumalanga,Sabi Sands Game Reserve,Sabi Sands Game Reserve,It is adjacent to Kruger National Park,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,ground surface,walking,,,https://web.facebook.com/photo?fbid=1172019359601802&set=p.1172019359601802
4,derek_tutlwa_mcbride,Derek Samuel,Instagram,Autumn,27/3/2019,daylight,South Africa,Mpumalanga,Sabi Sands Game Reserve,Sabi Sands Game Reserve,It is adjacent to Kruger National Park,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,walking,,,https://www.instagram.com/p/Bwv94QTArJj/?igshid=1n7rjzknh3kl9
5,bellinghamsafaris,Dylan Davies,Instagram,Summer,10/12/2014,afternoon,South Africa,Mpumalanga,Sabi Sands Game Reserve,Sabi Sands Game Reserve,It is adjacent to Kruger National Park,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,river,drinking water,,,https://www.instagram.com/p/waceWAuYpL/
6,trevor_kleyn,Trevor Kleyn,Instagram,Winter,25/8/2017,evening,South Africa,Mpumalanga,Sabi Sands Game Reserve,Sabi Sands Game Reserve,It is adjacent to Kruger National Park,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,walking,,,https://www.instagram.com/p/BYNtP0FBYPi/?igshid=l8r4bisdgw5i
7,Sabi Sands Game Reserve,Robert Peeters,Facebook,Spring,14/9/2017,evening,South africa,Mpumalanga,Sabi Sands Game Reserve,Sabi Sands Game Reserve,It is adjacent to Kruger National Park,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,walking,,,https://web.facebook.com/sabisands/posts/1368604326595451
8,Degie Navarro Kongsilp,Degie Navarro,Facebook,Winter,10/6/2017,daylight,South Africa,Mpumalanga,Sabi Sands Game Reserve,Sabi Sands Game Reserve,It is adjacent to Kruger National Park,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,walking,,yes,https://web.facebook.com/photo?fbid=10211760526582041&set=a.10211760342897449
9,Sabi Sands Game Reserve,Ross Couper,Facebook,Spring,5/9/2015,evening,South Africa,Mpumalanga,Sabi Sands Game Reserve,Sabi Sands Game Reserve,It is adjacent to Kruger National Park,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,walking,,,https://web.facebook.com/sabisands/posts/778639518925271
10,Rich Heen,Rich Heen,Facebook,Spring,29/10/2018,afternoon,South Africa,Mpumalanga,Sabi Sands Game Reserve,Sabi Sands Game Reserve,It is adjacent to Kruger National Park,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,walking,,,https://web.facebook.com/photo?fbid=10217885817407897&set=pcb.10217885825808107
11,lancevandervyver,Lance van de Vyver,Instagram,Summer,21/2/2015,evening,South Africa,Mpumalanga,Sabi Sands Game Reserve,Sabi Sands Game Reserve,It is adjacent to Kruger National Park,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,walking,,,https://www.instagram.com/p/zXWvKoHDN9/
12,Hills of Africa Travel,,Facebook,Summer,20/12/2011,evening,South Africa,Mpumalanga,Sabi Sands Game Reserve,Sabi Sands Game Reserve,It is adjacent to Kruger National Park,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,walking,,,https://web.facebook.com/photo?fbid=10150635322407222&set=bc.AbraJtvU_nqUjhGthfm9JdzV1nWGsFtW1Cb9Hd3gugjKNbkT36KNU9uZ97NTes-tQDr_Pfmuby2CmHAd5P3Kr0E9GDWiTPgFk8G_g507ZZkNzwR33SzH3GXHb5lYOTgVcopwYmeOcdEIa2FkbZkoqwjKzpES4kXL_7p4OnU55qaZw0SAFrloatSxbYqHfGQ0s_Y&opaqueCursor=AbrS4ZPi0G5andyCP-Urs_WdEJVIOgyv7OpyzJEKhKgcE8E6phq0sF7M7Ih2-l7mIXUSPFIssPegOPSfO1aoEvkut0GRkemF6xBPWtnbK-zkFdLRTgJCa5qOaOqDyhiaJARaUqI758q9ijRnVUnqb85apASUN67PdYItj7duBDXBe4ikNhKIJhwTgNfTiGT084SYMtoLaKYNXAqpQctC9e61dwq2pPMPl1R2hn4gIs3C2jw4l_DlADydbjeQp96t5uJFtlgTL6h64MVDN3y7zCBC7a_mdxpF5tJ2J_Ov5ZoFLM8KNnJFS3t2_Cf2UWHGRAN2IgMBrKAP6c7z6qeg3qVmIIb5_4T9oyj_151FaCznrkkiB51fxbGX20N82VDv17mRy_gQlRBjmshPQR0Mys2LX6dFK1poin_ie0Mmz8EFDnsKGaZkg7fX-axggIgelBB4-ZIin830hDgln6vZtxSTboa5Gqq46AGhgEK__pb-PIIPMVscus5bexU0noCYUYMzXQgEyRpvgW4-lEaWJPpvemKNFqMnorxQWPTXgi_8ZQg_ew3l78XrLeEyyhvRGPTzk0-qZhhjyNeo3PMziY7L
13,coetzerneil,Neil Coetzer,Instagram,Winter,1/6/2017,afternoon,South Africa,Mpumalanga,Sabi Sands Game Reserve,Sabi Sands Game Reserve,It is adjacent to Kruger National Park,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,curling,,,https://www.instagram.com/p/BUz79HAlzw7/
14,sabisabireserve,Ronald Mutero,Instagram,Spring,24/10/2019,daylight,South Africa,Mpumalanga,Sabi Sands Game Reserve,Sabi Sands Game Reserve,It is adjacent to Kruger National Park,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,attempting to walk but pauses because of voices,,yes,https://www.instagram.com/tv/B4AmxlDldzh/?igshid=qw9ox070p7lu
15,sabisabireserve,Kerry-Lee Roberg,Instagram,Spring,29/10/2018,daylight,South Africa,Mpumalanga,Sabi Sands Game Reserve,Sabi Sands Game Reserve,It is adjacent to Kruger National Park,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,ground surface,walking,,,https://www.instagram.com/p/Bt7pTmGDIc5/?igshid=1eaho2fz7mfz2
16,Craig Reiche,Craig Reiche,Facebook,Summer,25/2/2015,morning,South Africa,Mpumalanga,Sabi Sands Game Reserve,Sabi Sands Game Reserve,It is adjacent to Kruger National Park,Mpumalanga-other,Mpumalanga-Greater Kruger National Park,alive,grasses,paused,,yes,https://web.facebook.com/photo.php?fbid=10152682046132321&set=pb.598472320.-2207520000..&type=3
