number,image_number,reviewer_1,reviewer_2,summary,reviewer_3
1,1,NA,Poor,Only one reviewer,
2,2,Good,Poor,Reviewers disagree,
3,3,Good,Poor,Reviewers disagree,
4,4,Good,Good,Reviewers agree,
5,5,Good,Poor,Reviewers disagree,
6,6,Good,Good,Reviewers agree,
7,7,Good,Good,Reviewers agree,
8,8,Poor,Poor,Reviewers agree,
9,9,NA,Poor,Only one reviewer,
10,10,Poor,Poor,Reviewers agree,
11,11,Poor,Poor,Reviewers agree,
12,12,Good,Good,Reviewers agree,
13,13,Good,Good,Reviewers agree,
14,14,Poor,Poor,Reviewers agree,
15,15,Good,Poor,Reviewers disagree,
16,16,Poor,Poor,Reviewers agree,
17,17,Good,Poor,Reviewers disagree,
18,18,Good,Poor,Reviewers disagree,
19,19,Poor,Poor,Reviewers agree,
20,20,Good,Poor,Reviewers disagree,
21,21,Good,Poor,Reviewers disagree,
22,22,NA,NA,No reviews,
23,23,NA,NA,No reviews,
24,24,Good,Good,Reviewers agree,
25,25,NA,NA,No reviews,
26,26,Good,Good,Reviewers agree,
27,27,Good,Good,Reviewers agree,
28,28,Good,Good,Reviewers agree,
29,29,Good,Poor,Reviewers disagree,
30,30,Good,Poor,Reviewers disagree,
31,31,Good,Good,Reviewers agree,
32,32,Good,Good,Reviewers agree,
34,34,Good,Poor,Reviewers disagree,
35,35,Good,Good,Reviewers agree,
36,36,Good,Good,Reviewers agree,
37,37,Poor,Poor,Reviewers agree,
38,38,NA,NA,No reviews,
39,39,Poor,Poor,Reviewers agree,
40,39,Poor,Poor,Reviewers agree,
42,41,Good,Poor,Reviewers disagree,
43,42,Good,Good,Reviewers agree,
44,43,Good,Good,Reviewers agree,
45,44,NA,Poor,Only one reviewer,
46,45,NA,Poor,Only one reviewer,
47,46,Poor,Poor,Reviewers agree,
48,47,Good,Poor,Reviewers disagree,
49,48,Good,Good,Reviewers agree,
50,49,Good,Poor,Reviewers disagree,
51,50,NA,NA,No reviews,
52,51,Poor,Poor,Reviewers agree,
53,52,Good,Poor,Reviewers disagree,
54,53,NA,NA,No reviews,
55,54,NA,NA,No reviews,
56,55,NA,NA,No reviews,
57,56,NA,NA,No reviews,
58,57,NA,NA,No reviews,
59,58,Good,Poor,Reviewers disagree,
60,59,Good,Poor,Reviewers disagree,
61,60,Good,Poor,Reviewers disagree,
62,61,Good,Poor,Reviewers disagree,
63,62,Good,Poor,Reviewers disagree,
64,63,Good,Poor,Reviewers disagree,
65,64,Poor,Poor,Reviewers agree,
66,65,NA,NA,No reviews,
67,66,Good,Good,Reviewers agree,
68,67,Poor,Poor,Reviewers agree,
69,68,Poor,Good,Reviewers disagree,
70,69,Good,Good,Reviewers agree,
71,70,Good,Good,Reviewers agree,
72,71,Poor,Poor,Reviewers agree,
73,72,Poor,Poor,Reviewers agree,
74,73,Good,Poor,Reviewers disagree,
75,74,NA,Poor,Only one reviewer,
76,75,Good,Poor,Reviewers disagree,
77,76,Good,Poor,Reviewers disagree,
78,77,Good,Good,Reviewers agree,
79,78,Poor,Poor,Reviewers agree,
80,79,Good,Poor,Reviewers disagree,
81,80,Good,Poor,Reviewers disagree,
82,81,Good,Good,Reviewers agree,
83,82,Poor,Poor,Reviewers agree,
84,83,Good,Good,Reviewers agree,
85,84,Good,Poor,Reviewers disagree,
86,85,Good,Poor,Reviewers disagree,
87,86,Good,Poor,Reviewers disagree,
88,87,Good,Poor,Reviewers disagree,
89,88,Good,Poor,Reviewers disagree,
90,89,Good,Poor,Reviewers disagree,
91,90,Good,Poor,Reviewers disagree,
92,91,NA,Poor,Only one reviewer,
93,92,Good,Poor,Reviewers disagree,
94,93,Good,Poor,Reviewers disagree,
96,94,Good,Poor,Reviewers disagree,
98,95,Good,Good,Reviewers agree,
99,96,Good,Good,Reviewers agree,
100,97,Good,Good,Reviewers agree,
101,98,Good,Good,Reviewers agree,
102,99,Poor,Poor,Reviewers agree,
103,100,Good,Good,Reviewers agree,
104,101,Good,Good,Reviewers agree,
105,102,Good,Poor,Reviewers disagree,
106,103,Good,Good,Reviewers agree,
107,104,Poor,Good,Reviewers disagree,
108,105,Poor,Poor,Reviewers agree,
109,106,Poor,NA,Only one reviewer,
110,107,Good,Poor,Reviewers disagree,
111,108,Good,Poor,Reviewers disagree,
112,109,Poor,Poor,Reviewers agree,
113,110,Poor,Poor,Reviewers agree,
114,111,Good,Poor,Reviewers disagree,
114,134,Good,Poor,Reviewers disagree,
115,112,NA,NA,No reviews,
116,113,Poor,Poor,Reviewers agree,
117,114,Poor,Poor,Reviewers agree,
118,115,Poor,Poor,Reviewers agree,
119,116,NA,Poor,Only one reviewer,
120,117,Good,Good,Reviewers agree,
121,118,Good,Good,Reviewers agree,
122,119,Good,NA,Only one reviewer,
123,120,NA,NA,No reviews,
124,121,Poor,Poor,Reviewers agree,
127,124,Good,Poor,Reviewers disagree,
128,125,Good,NA,Only one reviewer,
129,126,Good,Good,Reviewers agree,
130,127,Good,Good,Reviewers agree,
131,128,Good,Good,Reviewers agree,
132,129,Good,Good,Reviewers agree,
133,130,Good,Good,Reviewers agree,
134,131,Good,Good,Reviewers agree,
135,132,Good,Poor,Reviewers disagree,
136,133,Good,Poor,Reviewers disagree,
137,111,Good,Poor,Reviewers disagree,
137,134,Good,Poor,Reviewers disagree,
139,135,Good,Good,Reviewers agree,
140,136,Good,Poor,Reviewers disagree,
141,137,Good,Good,Reviewers agree,
142,138,Good,Poor,Reviewers disagree,
143,139,Good,Poor,Reviewers disagree,
144,140,Poor,Poor,Reviewers agree,
145,141,Poor,Poor,Reviewers agree,
146,142,Good,Good,Reviewers agree,
147,143,Poor,Poor,Reviewers agree,
148,144,NA,NA,No reviews,
149,145,Poor,Poor,Reviewers agree,
150,146,Poor,Poor,Reviewers agree,
152,148,Good,Good,Reviewers agree,
153,149,Poor,NA,Only one reviewer,
154,150,Good,NA,Only one reviewer,
155,151,Good,Good,Reviewers agree,
156,152,Good,NA,Only one reviewer,
157,153,Good,Good,Reviewers agree,
158,154,Poor,Poor,Reviewers agree,
160,156,Good,Good,Reviewers agree,
161,157,NA,NA,No reviews,
162,158,Good,Good,Reviewers agree,
163,159,Good,Good,Reviewers agree,
164,160,NA,NA,No reviews,
165,161,NA,NA,No reviews,
166,162,NA,NA,No reviews,
167,163,NA,NA,No reviews,
169,165,Good,Good,Reviewers agree,
170,166,Good,Good,Reviewers agree,
172,167,Good,Good,Reviewers agree,
174,169,Good,Poor,Reviewers disagree,
175,170,Good,Good,Reviewers agree,
176,171,Poor,Poor,Reviewers agree,
179,173,Poor,Poor,Reviewers agree,
180,174,Good,Poor,Reviewers disagree,
181,175,Poor,Poor,Reviewers agree,
182,176,NA,NA,No reviews,
183,177,Good,Good,Reviewers agree,
184,178,Poor,Poor,Reviewers agree,
185,179,Good,Good,Reviewers agree,
186,155,Good,Good,Reviewers agree,
186,180,Good,NA,Only one reviewer,
187,181,Good,Good,Reviewers agree,
188,182,Good,Poor,Reviewers disagree,
189,183,Poor,Poor,Reviewers agree,
191,185,Good,Poor,Reviewers disagree,
192,186,NA,NA,No reviews,
193,187,Good,Poor,Reviewers disagree,
194,188,Poor,Poor,Reviewers agree,
195,189,Good,Good,Reviewers agree,
196,190,Poor,Poor,Reviewers agree,
197,191,Good,Good,Reviewers agree,
198,192,Good,NA,Only one reviewer,
199,193,Poor,Poor,Reviewers agree,
199,206,Good,Poor,Reviewers disagree,
200,194,Good,Poor,Reviewers disagree,
201,195,Good,Good,Reviewers agree,
202,196,Good,Poor,Reviewers disagree,
203,197,Poor,Poor,Reviewers agree,
204,198,NA,NA,No reviews,
205,199,Poor,Poor,Reviewers agree,
206,200,Good,Poor,Reviewers disagree,
207,201,Poor,Poor,Reviewers agree,
208,202,Poor,Poor,Reviewers agree,
209,203,Good,Poor,Reviewers disagree,
210,204,Good,Poor,Reviewers disagree,
211,205,Poor,Poor,Reviewers agree,
212,194,Good,Poor,Reviewers disagree,
213,193,Poor,Poor,Reviewers agree,
213,206,Good,Poor,Reviewers disagree,
215,208,Poor,Poor,Reviewers agree,
216,209,Good,Poor,Reviewers disagree,
217,210,Good,Poor,Reviewers disagree,
218,211,Poor,Poor,Reviewers agree,
219,212,Good,Good,Reviewers agree,
220,213,Poor,Poor,Reviewers agree,
222,215,Good,Good,Reviewers agree,
223,216,Poor,Poor,Reviewers agree,
224,217,Poor,Poor,Reviewers agree,
225,218,Good,Poor,Reviewers disagree,
229,221,Good,NA,Only one reviewer,
230,222,Poor,Poor,Reviewers agree,
231,223,Poor,Poor,Reviewers agree,
232,224,Poor,NA,Only one reviewer,
233,225,Poor,Poor,Reviewers agree,
234,226,Poor,Poor,Reviewers agree,
235,227,Poor,Poor,Reviewers agree,
236,228,Poor,Poor,Reviewers agree,
237,229,Poor,Poor,Reviewers agree,
238,230,Poor,NA,Only one reviewer,
239,231,NA,Poor,Only one reviewer,
240,232,NA,NA,No reviews,
241,233,Poor,Poor,Reviewers agree,
242,234,NA,NA,No reviews,
243,235,Poor,Poor,Reviewers agree,
244,236,NA,NA,No reviews,
245,237,Poor,Poor,Reviewers agree,
246,238,Poor,Poor,Reviewers agree,
248,240,NA,NA,No reviews,
249,241,NA,NA,No reviews,
250,242,NA,NA,No reviews,
251,243,Good,NA,Only one reviewer,
252,244,Good,Good,Reviewers agree,
253,245,Good,Good,Reviewers agree,
254,246,Good,Poor,Reviewers disagree,
255,247,NA,NA,No reviews,
258,249,Good,Good,Reviewers agree,
259,250,Good,Poor,Reviewers disagree,
260,251,Good,NA,Only one reviewer,
261,252,NA,NA,No reviews,
262,253,Good,NA,Only one reviewer,
263,254,Poor,Poor,Reviewers agree,
264,255,Poor,Poor,Reviewers agree,
266,256,Poor,Poor,Reviewers agree,
267,257,Good,NA,Only one reviewer,
268,258,Good,Good,Reviewers agree,
269,259,Good,Good,Reviewers agree,
270,260,Good,Poor,Reviewers disagree,
271,261,Good,NA,Only one reviewer,
273,263,Good,Poor,Reviewers disagree,
274,264,Good,Good,Reviewers agree,
275,265,NA,NA,No reviews,
276,266,NA,NA,No reviews,
277,267,NA,NA,No reviews,
278,268,Good,Poor,Reviewers disagree,
279,269,Good,Poor,Reviewers disagree,
283,273,Good,Good,Reviewers agree,
284,274,Poor,Poor,Reviewers agree,
285,275,Poor,Poor,Reviewers agree,
286,276,NA,Good,Only one reviewer,
287,277,Good,Good,Reviewers agree,
288,278,Good,Good,Reviewers agree,
290,280,Good,Good,Reviewers agree,
291,281,NA,Poor,Only one reviewer,
292,282,Good,Good,Reviewers agree,
293,283,Poor,Poor,Reviewers agree,
294,284,Good,Good,Reviewers agree,
296,289,Good,Good,Reviewers agree,
297,290,Good,Good,Reviewers agree,
298,291,Good,Good,Reviewers agree,
299,292,Good,Good,Reviewers agree,
300,293,Good,Good,Reviewers agree,
301,294,Good,Good,Reviewers agree,
302,295,Good,Poor,Reviewers disagree,
303,296,NA,NA,No reviews,
304,297,NA,NA,No reviews,
305,298,Poor,Poor,Reviewers agree,
306,299,Good,Poor,Reviewers disagree,
307,300,NA,NA,No reviews,
308,301,Good,Poor,Reviewers disagree,
309,302,NA,NA,No reviews,
310,303,Good,Poor,Reviewers disagree,
311,304,Good,Good,Reviewers agree,
314,307,NA,NA,No reviews,
315,308,NA,Good,Only one reviewer,
316,309,Good,Good,Reviewers agree,
317,310,NA,Good,Only one reviewer,
318,311,NA,NA,No reviews,
319,312,Good,Good,Reviewers agree,
320,313,Good,Good,Reviewers agree,
322,315,Good,Good,Reviewers agree,
324,317,Good,Good,Reviewers agree,
325,318,NA,NA,No reviews,
331,324,Good,Good,Reviewers agree,
